,asin,review
0,B09S6FWS7W,"
I have a newer style faucet in my house and the neck of this item did not even fit around the base of the faucet. I tried keeping it hooked around the water conditioner base but it would not hold. The neck of the item is very flimsy. The sponges that come with these I did not use at all as they are inferior to the ones I purchase at the dollar store.
"
1,B09S6FWS7W,"
Watch the girth of your faucet! Mine faucet is wide, the hook couldn’t fit around it. I had to return it.
"
2,B09S6FWS7W,"
My faucet is a large spout with built in pullout sprayer. The base is too big. Am finding other ways to use these.
"
3,B09S6FWS7W,"
They should state that it only fits very narrow faucets.
"
4,B09S6FWS7W,"
The product idea is genius, but our faucet is larger in diameter than the product allows so it isn't a good fit in our sink.
"
5,B09S6FWS7W,"
Missing a strainer. Bag looks like it has been reused.
"
6,B09S6FWS7W,"
Not made for a gooseneck faucet or one that is wide at the bottom
"
7,B09S6FWS7W,"
The curve handle did not fit my faucet. I had to strap it with a tie
"
8,B09S6FWS7W,"
I ordered these for myself and two daughters. They don’t fit any of our faucets. They will only work for a very slim faucet base.
"
9,B09S6FWS7W,"
Did not hang like pictured.  Wouldn't fit around my faucet.
"
10,B09S6FWS7W,"
Does not fit the faucet
"
11,B09S6FWS7W,"
The neck handle does not fit around all kitchen sink faucets bummer
"
12,B09S6FWS7W,"
I like the idea of this product but it doesn’t fit on my kitchen sink faucet.
"
13,B09S6FWS7W,"
Sadly the curve is too small for today's sinks and faucets.  I'm still trying to give them away.  I should have known by looking at them so since it was my fault I am not returning them.
"
14,B09S6FWS7W,"
Our faucet is too large for the hook to fit
"
15,B09S6FWS7W,"
Good concept, would work if it fit on the sink although it did not. It’s only fitting for very specific sink style. Also, kind of bigger than expected.
"
16,B09S6FWS7W,"
Doesn't properly fit my sink, too short from hook to strainer. I will use it, but ha e to do so differently
"
17,B09S6FWS7W,"
They do not fit around any of the faucets in my house.
"
18,B09S6FWS7W,"
This product did not work.  The hook to attach around your faucet is too short.  And to return it costs more than the original purchase.  DON'T waste your money on this product!!
"
19,B09S6FWS7W,"
If you have a new faucet it doesn't fit around the bottom.
"
20,B09S6FWS7W,"
This would be great if you have an older style faucet with a skinny base but will not fit most faucet styles of today!
"
21,B09S6FWS7W,"
Do not buy. I’ve tried in a few different sinks and it does not work, does not fit. Just hangs all lopsided. Waste of money.
"
22,B09S6FWS7W,"
Hook is smaller than in looks, doesn't fit around our faucet. It works but we have to hang it off the soap dispenser instead
"
23,B09S6FWS7W,"
I didn't even consider that this might not fit on my sink... But it doesn't. That makes it pretty worthless to me.Even if it did fit around the faucet, it didn't have enough clearance to sit in the sink.Maybe this made for bathroom sinks?
"
24,B09S6FWS7W,"
Great idea; however, it doesn’t fit any of my sinks. The curved neck that goes around the faucet is too small and it is not long enough to sit properly.  I have a Koehler in the kitchen and a generic in the laundry room.  Wish it would be redesigned as it would be handy when cleaning vegetables.
"
25,B09S6FWS7W,"
One of the baskets was damaged. We kept them anyway. I like the job that it does and how it fits on the sink. I have an under mount sink so it’s hooks on my soap dispenser. I just wish it was better quality plastic. I don’t think it will last long. Maybe that’s why you get a multi pack.
"
26,B09S6FWS7W,"
I was so excited for this and was disappointed to see that it only works on the newer, tall, kitchen faucets.  I have an older model and it will not fit!  I’ll keep it until I get a different faucet!
"
27,B09S6FWS7W,"
Love the cuteness, design, and function, but not so universal. Doesn’t fit on our rental house sink, nor the house we just bought, and gave two away and didn’t fit in there sinks. Still using as strainer.
"
28,B09S6FWS7W,"
Doesn’t really fit my sink or my mom’s properly.  But it’s ok.  Just wish the neck was longer so it worked better.
"
29,B09S6FWS7W,"
Product is a great idea, but isn’t one size fits all.  I have a moen faucet and the base is too large for the hook. Other than that great product.
"
30,B09S6FWS7W,"
I like the idea of this, but would be great if they would make the ""head"" adjustable.It doesn't fit on my faucet...
"
31,B09S6FWS7W,"
Unfortunately,  this won't hang on my sink as the photos show.  I can balance it on the space between the double sink, but it falls off as soon as it's bumped.
"
32,B09S6FWS7W,"
It states it will work for all sinks but does not.  I bought the set of 4 to give to family members and they all have under mounted sinks. Returning today.  But otherwise a great product and concept
"
